time_iso8601,stars_cumulative
2024-06-13 00:00:00+00:00,379
2024-06-14 00:00:00+00:00,380
2024-06-20 00:00:00+00:00,381
2024-06-21 00:00:00+00:00,382
2024-06-22 00:00:00+00:00,383
2024-06-25 00:00:00+00:00,384
2024-07-04 00:00:00+00:00,385
2024-07-13 00:00:00+00:00,386
2024-07-14 00:00:00+00:00,387
2024-07-24 00:00:00+00:00,388
2024-07-28 00:00:00+00:00,389
2024-08-01 00:00:00+00:00,390
2024-08-11 00:00:00+00:00,391
2024-08-12 00:00:00+00:00,392
2024-08-21 00:00:00+00:00,393
2024-08-23 00:00:00+00:00,394
2024-08-31 00:00:00+00:00,395
2024-09-04 00:00:00+00:00,396
2024-09-18 00:00:00+00:00,397
2024-09-23 00:00:00+00:00,398
2024-09-24 00:00:00+00:00,400
2024-09-26 00:00:00+00:00,401
2024-09-29 00:00:00+00:00,402
2024-10-03 00:00:00+00:00,406
2024-10-05 00:00:00+00:00,407
2024-10-09 00:00:00+00:00,409
2024-10-24 00:00:00+00:00,410
2024-10-25 00:00:00+00:00,411
2024-10-31 00:00:00+00:00,412
2024-11-06 00:00:00+00:00,413
2024-11-07 00:00:00+00:00,414
2024-11-09 00:00:00+00:00,415
2024-11-10 00:00:00+00:00,416
2024-11-16 00:00:00+00:00,417
2024-11-21 00:00:00+00:00,419
2024-11-28 00:00:00+00:00,420
2024-12-10 00:00:00+00:00,421
2024-12-12 00:00:00+00:00,422
2024-12-31 00:00:00+00:00,423
2025-01-01 00:00:00+00:00,424
2025-01-02 00:00:00+00:00,425
2025-01-07 00:00:00+00:00,426
2025-01-08 00:00:00+00:00,427
2025-01-09 00:00:00+00:00,428
2025-01-11 00:00:00+00:00,429
2025-01-13 00:00:00+00:00,431
2025-01-14 00:00:00+00:00,432
2025-01-16 00:00:00+00:00,433
2025-01-20 00:00:00+00:00,434
2025-01-26 00:00:00+00:00,435
2025-02-04 00:00:00+00:00,436
2025-02-11 00:00:00+00:00,437
2025-02-21 00:00:00+00:00,438
2025-03-27 00:00:00+00:00,440
2025-04-11 00:00:00+00:00,441
2025-04-14 00:00:00+00:00,442
2025-04-15 00:00:00+00:00,443
2025-04-17 00:00:00+00:00,444
2025-04-20 00:00:00+00:00,445
2025-04-21 00:00:00+00:00,446
2025-05-01 00:00:00+00:00,447
2025-05-20 00:00:00+00:00,448
2025-05-22 00:00:00+00:00,449
2025-07-04 00:00:00+00:00,450
2025-07-19 00:00:00+00:00,451
2025-07-25 00:00:00+00:00,452
2025-07-29 00:00:00+00:00,453
2025-08-07 00:00:00+00:00,454
2025-08-09 00:00:00+00:00,455
2025-08-17 00:00:00+00:00,456
2025-08-19 00:00:00+00:00,457
2025-08-31 00:00:00+00:00,458
2025-09-02 00:00:00+00:00,459
2025-09-05 00:00:00+00:00,460
2025-09-14 00:00:00+00:00,461
2025-09-20 00:00:00+00:00,462
2025-09-29 00:00:00+00:00,463
2025-10-17 00:00:00+00:00,464
2025-10-20 00:00:00+00:00,465
2025-10-21 00:00:00+00:00,466
2025-11-07 00:00:00+00:00,467
