time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-10 00:00:00+00:00,62,22,24,14
2024-04-11 00:00:00+00:00,60,21,22,12
2024-04-12 00:00:00+00:00,79,26,19,15
2024-04-13 00:00:00+00:00,97,30,65,10
2024-04-14 00:00:00+00:00,56,21,18,13
2024-04-15 00:00:00+00:00,89,34,39,19
2024-04-16 00:00:00+00:00,67,23,41,17
2024-04-17 00:00:00+00:00,75,28,19,12
2024-04-18 00:00:00+00:00,66,21,10,9
2024-04-19 00:00:00+00:00,70,26,29,21
2024-04-20 00:00:00+00:00,127,35,31,13
2024-04-21 00:00:00+00:00,67,27,35,15
2024-04-22 00:00:00+00:00,101,47,48,21
2024-04-23 00:00:00+00:00,91,34,42,20
2024-04-24 00:00:00+00:00,83,27,65,16
2024-04-25 00:00:00+00:00,97,30,42,16
2024-04-26 00:00:00+00:00,107,25,40,16
2024-04-27 00:00:00+00:00,80,29,11,5
2024-04-28 00:00:00+00:00,66,21,32,13
2024-04-29 00:00:00+00:00,51,19,46,11
2024-04-30 00:00:00+00:00,94,33,26,20
2024-05-01 00:00:00+00:00,112,25,24,16
2024-05-02 00:00:00+00:00,171,67,42,24
2024-05-03 00:00:00+00:00,121,61,53,17
2024-05-04 00:00:00+00:00,77,40,14,12
2024-05-05 00:00:00+00:00,69,33,10,6
2024-05-06 00:00:00+00:00,96,59,27,17
2024-05-07 00:00:00+00:00,77,42,32,15
2024-05-08 00:00:00+00:00,82,40,39,19
2024-05-09 00:00:00+00:00,95,45,42,22
2024-05-10 00:00:00+00:00,91,38,75,23
2024-05-11 00:00:00+00:00,66,25,53,10
2024-05-12 00:00:00+00:00,61,29,33,15
2024-05-13 00:00:00+00:00,108,45,91,33
2024-05-14 00:00:00+00:00,67,31,33,15
2024-05-15 00:00:00+00:00,72,32,40,22
2024-05-16 00:00:00+00:00,92,44,72,25
2024-05-17 00:00:00+00:00,98,42,37,23
2024-05-18 00:00:00+00:00,68,29,19,9
2024-05-19 00:00:00+00:00,86,34,26,15
2024-05-20 00:00:00+00:00,75,33,42,24
2024-05-21 00:00:00+00:00,71,31,48,17
2024-05-22 00:00:00+00:00,82,36,115,20
2024-05-23 00:00:00+00:00,195,76,47,27
2024-05-24 00:00:00+00:00,152,97,101,22
2024-05-25 00:00:00+00:00,78,45,19,12
2024-05-26 00:00:00+00:00,84,38,25,15
2024-05-27 00:00:00+00:00,99,53,33,13
2024-05-28 00:00:00+00:00,85,51,62,23
2024-05-29 00:00:00+00:00,79,45,32,17
2024-05-30 00:00:00+00:00,77,38,20,16
2024-05-31 00:00:00+00:00,94,39,126,19
2024-06-01 00:00:00+00:00,101,31,20,11
2024-06-02 00:00:00+00:00,53,25,26,17
2024-06-03 00:00:00+00:00,79,40,9,9
2024-06-04 00:00:00+00:00,71,36,33,16
2024-06-05 00:00:00+00:00,80,36,45,24
